index,disease_name,supplement name,supplement image,buy link
31,Tomato Late Blight Leaf,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpQmIM9QZkFI43PPlHVFaSlGdrdMP8LFHXAo9b_OGOQCi3R6G-SsqnCXFR4CU9bVAcyuBGTrQRAkRrU9fm-1TGeXg9PrsB&usqp=CAE,https://www.bighaat.com/products/acrobat-fungicide?variant=31177935519767&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
32,Tomato Leaf Mould,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfgH6lswqhV2hUhqZwEfgQBU1eUP1GCvETxg_a3JFOERS2tc80k8gNMbHM_XxReblck1T7tR95X8Qojdj1k0yAyvhmCZHvkFWaT_L-a8ofElEXerVJqvsF&usqp=CAE,https://agribegri.com/products/virus-special-enviroimmuno-1-litre.php
33,Tomato Septoria Leaf Spot,Roko Fungicide,https://farmagritech.com/wp-content/uploads/2020/05/roko-insecticide.jpg,https://farmagritech.com/product/roko-fungicide/?attribute_pa_size=500gm&utm_source=Google%20Shopping&utm_campaign=Google%20shopping%20feed%201&utm_medium=cpc&utm_term=3239
34,Spider Mites Two-Spotted Spider Mite Leaf,OMITE INSECTICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQxe-M4vyRx94TlpTOw6tlzvagjvaTRCWRLoKd58JML7T3rSV8GJK67YjxIiR-PHL02DL2CHsHPLzExBf6uq7BqxcLPxgmh9w&usqp=CAE,https://www.bighaat.com/products/omite-insecticide?variant=31276117196823&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
35,Cassava Mosaic Virus Leaf,No supplements,,
36,Northern Leaf Blight,Nativo FUNGICIDE,https://m.media-amazon.com/images/I/719-AeQpVQL._SY879_.jpg,https://www.amazon.in/Bayer-Nativo-Systemic-Fungicide-100g/dp/B088GZ287Q
37,Rice Brown Spot,Carbendazim,https://5.imimg.com/data5/SX/VV/DQ/SELLER-49180782/ju-carbendazim-fungicide-1000x1000.png,https://www.indiamart.com/proddetail/ju-carbendazim-fungicide-21888861530.html
38,Tomato Healthy Leaf,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://cdn.shopify.com/s/files/1/1489/8850/products/Tomato_feretilizer-new_869x868.jpg?v=1582699319,https://www.casagardenshop.com/products/tomato-fertilizer-for-home-terrace-outdoor-gardening?variant=32106353131619&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
39,Rice Hispa Leaf,Carbofuran,https://www.nichinoindia.com/assets/img/carbogran/CARBOGRAN%203G%20POUCH%20NEW.png,https://www.kisanshop.in/en/product/nagarjuna-fury-insecticide-carbofuran-3percent-cg?srsltid=AfmBOor-V36k_RnN2o8-2I6DHX8ArmoYLQN1fd7M3YfESHj8sCKQhHNADnI
40,Rice Leaf Blast,Katyayani Azozole,https://agrosiaa.com/uploads/userdata/seller/eb7c7ee9f5e7652f0f11a72dc20cf75469b9591c/product_images/98155389032e0153b3f6c7cfde0b074f02ed6869d59661546c.jpeg,https://agribegri.com/products/azoxystrobin-182--difenoconazole-114--best-fungicide-online.php?srsltid=AfmBOoreqOJnON7yQLHYJ5qZy9DaiNVYuWBEdKp3Z2Ln30Pa5Vb5yKNmS7E
41,Rice Healthy Leaf,"Nitrogenous fertilizers, like urea or ammonium nitrate",https://m.media-amazon.com/images/I/51DR1pA+iVL._SX522_.jpg,https://www.amazon.in/Urea-Fertilizer-46-0-0-Fast-Acting-Water-Soluble/dp/B0DWLJNZKB?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A2PDMX630A5EG6
