                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.38872,                0.56748,                 1.1341,                0.89327,                0.92237,                0.92861,                0.90425,                0.23848,                0.39009,                0.83324,               0.006436,               0.006436,               0.006436
                     38,                0.38635,                0.56332,                 1.1302,                0.90108,                0.91473,                0.92872,                0.90447,                0.23681,                0.39051,                0.83148,               0.006337,               0.006337,               0.006337
                     39,                 0.3841,                0.55384,                 1.1224,                0.90172,                0.91368,                0.92873,                0.90449,                 0.2345,                0.38972,                0.82859,               0.006238,               0.006238,               0.006238
                     40,                0.38467,                0.55587,                 1.1272,                0.90503,                0.91219,                0.92917,                0.90481,                0.23331,                0.38797,                0.82699,               0.006139,               0.006139,               0.006139
                     41,                0.38446,                0.55466,                 1.1387,                0.90565,                0.91154,                0.92901,                0.90474,                0.23329,                0.38855,                0.82665,                0.00604,                0.00604,                0.00604
                     42,                0.37898,                0.54833,                 1.1304,                0.90597,                0.91149,                 0.9292,                0.90463,                0.23338,                0.38827,                0.82672,               0.005941,               0.005941,               0.005941
                     43,                0.37864,                0.53971,                 1.1186,                0.90846,                0.90713,                0.92877,                0.90384,                0.23368,                0.38787,                0.82693,               0.005842,               0.005842,               0.005842
                     44,                0.37911,                0.54054,                 1.1145,                 0.9095,                0.90923,                0.92873,                 0.9039,                0.23458,                0.38749,                0.82799,               0.005743,               0.005743,               0.005743
                     45,                0.37488,                 0.5286,                 1.1148,                0.90998,                0.90853,                0.92905,                0.90445,                0.23552,                0.38668,                0.82913,               0.005644,               0.005644,               0.005644
                     46,                    inf,                0.52753,                 1.1121,                0.90495,                0.91189,                0.92892,                0.90448,                0.23562,                0.38725,                0.82935,               0.005545,               0.005545,               0.005545
                     47,                0.37149,                0.52304,                 1.1146,                0.90449,                0.91441,                0.92942,                0.90516,                0.23655,                 0.3868,                0.83072,               0.005446,               0.005446,               0.005446
                     48,                0.37248,                0.52035,                 1.1126,                0.90572,                0.91491,                0.92975,                0.90527,                0.23667,                0.38773,                0.83076,               0.005347,               0.005347,               0.005347
                     49,                0.37284,                0.51968,                 1.1179,                0.90462,                0.91516,                0.92953,                0.90541,                0.23697,                0.38611,                0.83095,               0.005248,               0.005248,               0.005248
                     50,                0.36902,                 0.5147,                 1.1032,                0.90552,                0.91488,                0.92983,                0.90577,                0.23636,                0.38549,                0.82971,               0.005149,               0.005149,               0.005149
                     51,                0.36611,                0.50786,                 1.1043,                0.90633,                0.91479,                0.92985,                0.90598,                0.23595,                0.38585,                0.82934,                0.00505,                0.00505,                0.00505
                     52,                0.36403,                0.50535,                  1.098,                0.90686,                0.91463,                 0.9295,                 0.9058,                0.23613,                 0.3865,                0.82951,               0.004951,               0.004951,               0.004951
                     53,                0.36652,                0.50549,                 1.1065,                0.90593,                0.91358,                0.92966,                0.90598,                0.23571,                0.38486,                0.82921,               0.004852,               0.004852,               0.004852
                     54,                0.36518,                0.49777,                 1.1018,                0.90573,                0.91305,                0.92993,                0.90611,                 0.2355,                0.38366,                0.82876,               0.004753,               0.004753,               0.004753
                     55,                0.36034,                0.49081,                 1.1036,                0.90705,                0.91243,                0.92991,                 0.9064,                0.23537,                0.38315,                0.82851,               0.004654,               0.004654,               0.004654
                     56,                0.36189,                0.48816,                 1.1026,                0.90631,                0.91358,                0.92991,                0.90668,                0.23555,                0.38407,                0.82847,               0.004555,               0.004555,               0.004555
                     57,                0.35878,                0.48276,                 1.0952,                0.90533,                0.91316,                0.93006,                0.90618,                0.23532,                0.38413,                0.82825,               0.004456,               0.004456,               0.004456
                     58,                0.35873,                0.48276,                 1.0897,                 0.9058,                0.91316,                0.93033,                0.90654,                0.23536,                0.38392,                0.82823,               0.004357,               0.004357,               0.004357
                     59,                0.35391,                0.47362,                 1.0928,                0.90584,                0.91295,                0.93011,                0.90637,                0.23595,                0.38345,                0.82898,               0.004258,               0.004258,               0.004258
                     60,                0.35639,                 0.4709,                 1.0932,                0.90429,                0.91328,                0.93012,                0.90641,                0.23641,                0.38369,                0.82924,               0.004159,               0.004159,               0.004159
                     61,                0.35199,                0.46992,                 1.0937,                0.90567,                0.91352,                0.93015,                0.90668,                0.23641,                0.38346,                0.82924,                0.00406,                0.00406,                0.00406
                     62,                0.35471,                0.46523,                 1.0962,                0.90635,                0.91265,                0.93009,                0.90624,                0.23655,                0.38363,                0.82932,               0.003961,               0.003961,               0.003961
                     63,                0.34934,                0.46133,                 1.1022,                0.90447,                0.91581,                0.93013,                0.90646,                0.23656,                0.38393,                0.82932,               0.003862,               0.003862,               0.003862
                     64,                0.34656,                0.45608,                 1.0937,                0.90199,                0.91614,                0.92991,                 0.9059,                0.23638,                0.38424,                0.82902,               0.003763,               0.003763,               0.003763
                     65,                0.34772,                0.45518,                 1.0842,                0.90204,                0.91567,                0.92997,                0.90585,                0.23657,                 0.3845,                0.82935,               0.003664,               0.003664,               0.003664
                     66,                0.34715,                0.44305,                 1.0823,                0.90239,                0.91514,                0.92958,                0.90561,                0.23721,                0.38517,                0.83013,               0.003565,               0.003565,               0.003565
                     67,                0.34414,                0.44394,                 1.0792,                0.90256,                0.91502,                0.92994,                0.90613,                 0.2374,                0.38672,                0.83049,               0.003466,               0.003466,               0.003466
                     68,                0.34074,                0.44144,                 1.0808,                0.90229,                0.91586,                0.92993,                0.90585,                0.23745,                0.38616,                0.83055,               0.003367,               0.003367,               0.003367
                     69,                0.34111,                0.43729,                 1.0767,                0.90159,                0.91632,                0.93011,                0.90589,                0.23802,                0.38626,                0.83077,               0.003268,               0.003268,               0.003268
                     70,                0.33706,                0.42822,                 1.0851,                0.90042,                0.91625,                0.93015,                0.90596,                0.23791,                0.38579,                 0.8306,               0.003169,               0.003169,               0.003169
                     71,                0.33685,                0.42806,                 1.0815,                0.90056,                0.91664,                 0.9301,                 0.9061,                0.23793,                0.38693,                0.83079,                0.00307,                0.00307,                0.00307
                     72,                0.33206,                0.42105,                 1.0698,                0.90364,                0.91513,                0.93016,                0.90638,                0.23809,                 0.3863,                0.83125,               0.002971,               0.002971,               0.002971
                     73,                0.33087,                0.41209,                 1.0697,                0.90367,                0.91392,                 0.9302,                0.90655,                0.23792,                 0.3861,                0.83125,               0.002872,               0.002872,               0.002872
                     74,                0.33393,                0.41331,                 1.0703,                0.90359,                0.91439,                0.92999,                0.90642,                0.23741,                0.38616,                0.83086,               0.002773,               0.002773,               0.002773
                     75,                0.32806,                0.40609,                 1.0659,                0.91002,                0.90853,                0.93006,                0.90669,                0.23735,                0.38577,                0.83068,               0.002674,               0.002674,               0.002674
                     76,                0.32706,                0.40087,                 1.0678,                0.90251,                0.91548,                0.93012,                 0.9067,                0.23691,                0.38683,                0.82999,               0.002575,               0.002575,               0.002575
                     77,                0.32737,                0.40098,                 1.0712,                0.91252,                0.90627,                0.93037,                0.90727,                0.23706,                0.38727,                0.83015,               0.002476,               0.002476,               0.002476
                     78,                0.32358,                0.39309,                 1.0655,                0.91005,                 0.9069,                0.93026,                0.90708,                0.23693,                0.38738,                0.82995,               0.002377,               0.002377,               0.002377
                     79,                0.32205,                0.38715,                 1.0612,                0.91083,                 0.9088,                 0.9303,                0.90756,                0.23674,                0.38789,                0.82961,               0.002278,               0.002278,               0.002278
                     80,                0.32366,                0.39043,                 1.0585,                0.91199,                0.91072,                0.93061,                0.90782,                0.23661,                0.38789,                0.82923,               0.002179,               0.002179,               0.002179
                     81,                0.32019,                0.38141,                 1.0602,                0.91409,                0.91036,                0.93056,                0.90776,                 0.2362,                0.38673,                0.82883,                0.00208,                0.00208,                0.00208
